Unnamed: 0,일자,pm10
1,2018-01-01,42.0
2,2018-01-02,40.0
3,2018-01-03,49.0
4,2018-01-04,62.0
5,2018-01-05,51.0
6,2018-01-06,58.0
7,2018-01-07,59.0
8,2018-01-08,45.0
9,2018-01-09,34.0
10,2018-01-10,37.0
11,2018-01-11,26.0
12,2018-01-12,51.0
13,2018-01-13,66.0
14,2018-01-14,67.0
15,2018-01-15,93.0
16,2018-01-16,95.0
17,2018-01-17,80.0
18,2018-01-18,63.0
19,2018-01-19,88.0
20,2018-01-20,62.0
21,2018-01-21,52.0
22,2018-01-22,28.0
23,2018-01-23,33.0
24,2018-01-24,27.0
25,2018-01-25,36.0
26,2018-01-26,49.0
27,2018-01-27,36.0
28,2018-01-28,52.0
29,2018-01-29,47.0
30,2018-01-30,46.0
31,2018-01-31,45.0
32,2018-02-01,58.0
33,2018-02-02,40.0
34,2018-02-03,36.0
35,2018-02-04,29.0
36,2018-02-05,35.0
37,2018-02-06,44.0
38,2018-02-07,56.0
39,2018-02-08,68.0
40,2018-02-09,71.0
41,2018-02-10,56.0
42,2018-02-11,55.0
43,2018-02-12,57.0
44,2018-02-13,68.0
45,2018-02-14,44.0
46,2018-02-15,51.0
47,2018-02-16,54.0
48,2018-02-17,42.0
49,2018-02-18,63.0
50,2018-02-19,65.0
51,2018-02-20,43.0
52,2018-02-21,50.0
53,2018-02-22,81.0
54,2018-02-23,74.0
55,2018-02-24,52.0
56,2018-02-25,64.0
57,2018-02-26,86.0
58,2018-02-27,62.0
59,2018-02-28,45.0
60,2018-03-01,70.0
61,2018-03-02,62.0
62,2018-03-03,32.0
63,2018-03-04,9.0
64,2018-03-05,33.0
65,2018-03-06,33.0
66,2018-03-07,32.0
67,2018-03-08,52.0
68,2018-03-09,51.0
69,2018-03-10,58.0
70,2018-03-11,84.0
71,2018-03-12,63.0
72,2018-03-13,28.0
73,2018-03-14,22.0
74,2018-03-15,15.0
75,2018-03-16,35.0
76,2018-03-17,63.0
77,2018-03-18,33.0
78,2018-03-19,21.0
79,2018-03-20,15.0
80,2018-03-21,46.0
81,2018-03-22,68.0
82,2018-03-23,97.0
83,2018-03-24,102.0
84,2018-03-25,96.0
85,2018-03-26,86.0
86,2018-03-27,61.0
87,2018-03-28,65.0
88,2018-03-29,68.0
89,2018-03-30,63.0
90,2018-03-31,74.0
91,2018-04-01,72.0
92,2018-04-02,69.0
93,2018-04-03,15.0
94,2018-04-04,7.0
95,2018-04-05,91.0
96,2018-04-06,54.0
97,2018-04-07,30.0
98,2018-04-08,46.0
99,2018-04-09,54.0
100,2018-04-10,65.0
101,2018-04-11,52.0
102,2018-04-12,39.0
103,2018-04-13,23.0
104,2018-04-14,69.0
105,2018-04-15,44.0
106,2018-04-16,63.0
107,2018-04-17,71.0
108,2018-04-18,78.0
109,2018-04-19,91.0
110,2018-04-20,70.0
111,2018-04-21,39.0
112,2018-04-22,10.0
113,2018-04-23,9.0
114,2018-04-24,39.0
115,2018-04-25,51.0
116,2018-04-26,61.0
117,2018-04-27,63.0
118,2018-04-28,61.0
119,2018-04-29,80.0
120,2018-04-30,65.0
121,2018-05-01,49.0
122,2018-05-02,32.0
123,2018-05-03,53.0
124,2018-05-04,49.0
125,2018-05-05,15.0
126,2018-05-06,40.0
127,2018-05-07,22.0
128,2018-05-08,25.0
129,2018-05-09,55.0
130,2018-05-10,66.0
131,2018-05-11,34.0
132,2018-05-12,26.0
133,2018-05-13,76.0
134,2018-05-14,78.0
135,2018-05-15,35.0
136,2018-05-16,15.0
137,2018-05-17,11.0
138,2018-05-18,11.0
139,2018-05-19,11.0
140,2018-05-20,21.0
