Unnamed: 0,date,pm10,traffic,wind
1,2018-01-01,42,9117550.06,35
2,2018-01-02,40,10810745.17,28
3,2018-01-03,49,11188726.99,34
4,2018-01-04,62,11304349.59,29
5,2018-01-05,51,11514949.7,43
6,2018-01-06,58,10802423.7,42
7,2018-01-07,59,9331974.698,4
8,2018-01-08,45,10766430.14,34
9,2018-01-09,34,10931745.2,40
10,2018-01-10,37,11261076.99,37
11,2018-01-11,26,11361456.13,42
12,2018-01-12,51,11603867.59,37
13,2018-01-13,66,10824946.82,3
14,2018-01-14,67,9821867.825,2
15,2018-01-15,93,11267361.39,35
16,2018-01-16,95,11323737.54,4
17,2018-01-17,80,11382699.24,20
18,2018-01-18,63,11160880.57,42
19,2018-01-19,88,11429058.06,38
20,2018-01-20,62,10875364.53,23
21,2018-01-21,52,9504121.055,26
22,2018-01-22,28,10729045.14,19
23,2018-01-23,33,10891518.43,40
24,2018-01-24,27,10924646.79,33
25,2018-01-25,36,11046302.65,31
26,2018-01-26,49,11276726.59,31
27,2018-01-27,36,10616106.29,23
28,2018-01-28,52,9388030.788,44
29,2018-01-29,47,10961370.43,36
30,2018-01-30,46,10571055.72,24
31,2018-01-31,45,10606197.15,35
32,2018-02-01,58,11286250.42,36
33,2018-02-02,40,11465337.97,34
34,2018-02-03,36,10839099.77,43
35,2018-02-04,29,9521191.544,42
36,2018-02-05,35,11037066.48,39
37,2018-02-06,44,11214767.41,42
38,2018-02-07,56,11265735.49,29
39,2018-02-08,68,11446137.18,22
40,2018-02-09,71,11520145.06,11
41,2018-02-10,56,10918574.86,35
42,2018-02-11,55,9416428.786,43
43,2018-02-12,57,11226414.53,41
44,2018-02-13,68,11501164.97,30
45,2018-02-14,44,11242702.97,19
46,2018-02-15,51,9166150.562,37
47,2018-02-16,54,9352611.846,39
48,2018-02-17,42,8550798.994,44
49,2018-02-18,63,8795431.966,27
50,2018-02-19,65,10743678.97,38
51,2018-02-20,43,11177013.97,40
52,2018-02-21,50,11195525.36,35
53,2018-02-22,81,11355166.34,17
54,2018-02-23,74,11174216.35,12
55,2018-02-24,52,10979573.33,42
56,2018-02-25,64,9737147.966,30
57,2018-02-26,86,11277324.47,26
58,2018-02-27,62,11415818.03,17
59,2018-02-28,45,11334821.27,0
60,2018-03-01,70,10093719.6,39
61,2018-03-02,62,11246266.61,24
62,2018-03-03,32,10809365.21,12
63,2018-03-04,9,9035275.542,8
64,2018-03-05,33,11026874.97,0
65,2018-03-06,33,11417370.79,16
66,2018-03-07,32,11383426.32,0
67,2018-03-08,52,11289892.88,20
68,2018-03-09,51,11659107.94,16
69,2018-03-10,58,11114383.92,33
70,2018-03-11,84,9854153.408,38
71,2018-03-12,63,11176981.52,20
72,2018-03-13,28,11438288.02,17
73,2018-03-14,22,11532171.14,19
74,2018-03-15,15,10970559.55,27
75,2018-03-16,35,11605972.64,1
76,2018-03-17,63,11086702.03,21
77,2018-03-18,33,9787414.033,30
78,2018-03-19,21,11025195.82,0
79,2018-03-20,15,11444528.55,0
80,2018-03-21,46,11183199.46,7
81,2018-03-22,68,11604759.11,43
82,2018-03-23,97,11765991.1,38
83,2018-03-24,102,11242168.78,36
84,2018-03-25,96,9913150.465,5
85,2018-03-26,86,11180193.64,22
86,2018-03-27,61,11483897.93,22
87,2018-03-28,65,11549835.79,25
88,2018-03-29,68,11534995.15,30
89,2018-03-30,63,11772766.63,14
90,2018-03-31,74,11207796.73,32
91,2018-04-01,72,9834908.557,14
92,2018-04-02,69,11114917.67,22
93,2018-04-03,15,11300650.8,25
94,2018-04-04,7,11370186.98,9
95,2018-04-05,91,11037552.07,0
96,2018-04-06,54,11670143,42
97,2018-04-07,30,11226066.06,46
98,2018-04-08,46,9690938.145,19
99,2018-04-09,54,11215870.41,13
100,2018-04-10,65,11400929.7,12
101,2018-04-11,52,11512193.73,39
102,2018-04-12,39,11688389.62,34
103,2018-04-13,23,11781548.99,9
104,2018-04-14,69,10857173.03,14
105,2018-04-15,44,10034040.52,43
106,2018-04-16,63,11518261.98,21
107,2018-04-17,71,11571084.49,27
