Unnamed: 0,일자,pm10
1,2019-01-01,37.0
2,2019-01-02,40.0
3,2019-01-03,60.0
4,2019-01-04,61.0
5,2019-01-05,52.0
6,2019-01-06,56.0
7,2019-01-07,46.0
8,2019-01-08,53.0
9,2019-01-09,58.0
10,2019-01-10,70.0
11,2019-01-11,81.0
12,2019-01-12,90.0
13,2019-01-13,118.0
14,2019-01-14,104.0
15,2019-01-15,50.0
16,2019-01-16,47.0
17,2019-01-17,54.0
18,2019-01-18,81.0
19,2019-01-19,65.0
20,2019-01-20,47.0
21,2019-01-21,66.0
22,2019-01-22,69.0
23,2019-01-23,47.0
24,2019-01-24,50.0
25,2019-01-25,48.0
26,2019-01-26,41.0
27,2019-01-27,74.0
28,2019-01-28,67.0
29,2019-01-29,62.0
30,2019-01-30,69.0
31,2019-01-31,43.0
32,2019-02-01,57.0
33,2019-02-02,39.0
34,2019-02-03,67.0
35,2019-02-04,73.0
36,2019-02-05,80.0
37,2019-02-06,59.0
38,2019-02-07,35.0
39,2019-02-08,40.0
40,2019-02-09,46.0
41,2019-02-10,44.0
42,2019-02-11,59.0
43,2019-02-12,42.0
44,2019-02-13,55.0
45,2019-02-14,42.0
46,2019-02-15,59.0
47,2019-02-16,40.0
48,2019-02-17,46.0
49,2019-02-18,47.0
50,2019-02-19,55.0
51,2019-02-20,72.0
52,2019-02-21,70.0
53,2019-02-22,57.0
54,2019-02-23,64.0
55,2019-02-24,76.0
56,2019-02-25,58.0
57,2019-02-26,68.0
58,2019-02-27,76.0
59,2019-02-28,93.0
60,2019-03-01,91.0
61,2019-03-02,86.0
62,2019-03-03,122.0
63,2019-03-04,136.0
64,2019-03-05,106.0
65,2019-03-06,55.0
66,2019-03-07,53.0
67,2019-03-08,48.0
68,2019-03-09,51.0
69,2019-03-10,69.0
70,2019-03-11,74.0
71,2019-03-12,46.0
72,2019-03-13,47.0
73,2019-03-14,54.0
74,2019-03-15,46.0
75,2019-03-16,44.0
76,2019-03-17,46.0
77,2019-03-18,63.0
78,2019-03-19,83.0
79,2019-03-20,37.0
80,2019-03-21,41.0
81,2019-03-22,27.0
82,2019-03-23,31.0
83,2019-03-24,50.0
84,2019-03-25,63.0
85,2019-03-26,80.0
86,2019-03-27,75.0
87,2019-03-28,45.0
88,2019-03-29,41.0
89,2019-03-30,44.0
90,2019-03-31,30.0
91,2019-04-01,35.0
92,2019-04-02,44.0
93,2019-04-03,39.0
94,2019-04-04,72.0
95,2019-04-05,63.0
96,2019-04-06,43.0
97,2019-04-07,44.0
98,2019-04-08,29.0
99,2019-04-09,8.0
100,2019-04-10,30.0
101,2019-04-11,57.0
102,2019-04-12,53.0
103,2019-04-13,43.0
104,2019-04-14,57.0
105,2019-04-15,51.0
106,2019-04-16,45.0
107,2019-04-17,45.0
108,2019-04-18,47.0
109,2019-04-19,49.0
110,2019-04-20,37.0
111,2019-04-21,85.0
112,2019-04-22,87.0
113,2019-04-23,62.0
114,2019-04-24,42.0
115,2019-04-25,10.0
116,2019-04-26,20.0
117,2019-04-27,21.0
118,2019-04-28,22.0
119,2019-04-29,41.0
120,2019-04-30,59.0
121,2019-05-01,55.0
122,2019-05-02,56.0
123,2019-05-03,74.0
124,2019-05-04,70.0
125,2019-05-05,39.0
126,2019-05-06,55.0
127,2019-05-07,57.0
128,2019-05-08,53.0
129,2019-05-09,66.0
130,2019-05-10,69.0
131,2019-05-11,61.0
132,2019-05-12,63.0
133,2019-05-13,46.0
134,2019-05-14,70.0
135,2019-05-15,69.0
136,2019-05-16,62.0
137,2019-05-17,34.0
138,2019-05-18,16.0
139,2019-05-19,41.0
140,2019-05-20,60.0
141,2019-05-21,63.0
142,2019-05-22,74.0
143,2019-05-23,79.0
144,2019-05-24,76.0
145,2019-05-25,46.0
146,2019-05-26,26.0
147,2019-05-27,26.0
148,2019-05-28,56.0
149,2019-05-29,53.0
150,2019-05-30,24.0
151,2019-05-31,39.0
152,2019-06-01,41.0
153,2019-06-02,45.0
154,2019-06-03,30.0
155,2019-06-04,51.0
156,2019-06-05,56.0
157,2019-06-06,19.0
158,2019-06-07,30.0
159,2019-06-08,42.0
160,2019-06-09,14.0
161,2019-06-10,17.0
162,2019-06-11,35.0
163,2019-06-12,34.0
164,2019-06-13,35.0
165,2019-06-14,39.0
166,2019-06-15,16.0
167,2019-06-16,25.0
168,2019-06-17,35.0
169,2019-06-18,36.0
170,2019-06-19,29.0
171,2019-06-20,30.0
172,2019-06-21,10.0
173,2019-06-22,11.0
174,2019-06-23,21.0
175,2019-06-24,31.0
176,2019-06-25,30.0
177,2019-06-26,19.0
178,2019-06-27,37.0
179,2019-06-28,23.0
180,2019-06-29,29.0
181,2019-06-30,34.0
182,2019-07-01,33.0
183,2019-07-02,38.0
184,2019-07-03,32.0
185,2019-07-04,31.0
186,2019-07-05,22.0
187,2019-07-06,15.0
188,2019-07-07,8.0
189,2019-07-08,8.0
190,2019-07-09,6.0
191,2019-07-10,7.0
192,2019-07-11,18.0
193,2019-07-12,37.0
194,2019-07-13,42.0
195,2019-07-14,35.0
196,2019-07-15,36.0
197,2019-07-16,65.0
198,2019-07-17,67.0
199,2019-07-18,37.0
200,2019-07-19,8.0
201,2019-07-20,17.0
202,2019-07-21,48.0
203,2019-07-22,27.0
204,2019-07-23,25.0
205,2019-07-24,27.0
206,2019-07-25,19.0
207,2019-07-26,20.0
208,2019-07-27,13.0
209,2019-07-28,15.0
210,2019-07-29,21.0
211,2019-07-30,18.0
212,2019-07-31,14.0
213,2019-08-01,20.0
214,2019-08-02,22.0
215,2019-08-03,31.0
216,2019-08-04,39.0
217,2019-08-05,27.0
218,2019-08-06,21.0
219,2019-08-07,41.0
220,2019-08-08,23.0
221,2019-08-09,20.0
222,2019-08-10,17.0
223,2019-08-11,14.0
224,2019-08-12,25.0
225,2019-08-13,17.0
226,2019-08-14,8.0
227,2019-08-15,19.0
228,2019-08-16,33.0
229,2019-08-17,22.0
230,2019-08-18,22.0
231,2019-08-19,29.0
232,2019-08-20,33.0
233,2019-08-21,43.0
234,2019-08-22,34.0
235,2019-08-23,23.0
236,2019-08-24,17.0
237,2019-08-25,22.0
238,2019-08-26,23.0
239,2019-08-27,26.0
240,2019-08-28,25.0
241,2019-08-29,16.0
242,2019-08-30,18.0
243,2019-08-31,18.0
244,2019-09-01,25.0
245,2019-09-02,23.0
246,2019-09-03,9.0
247,2019-09-04,7.0
248,2019-09-05,14.0
249,2019-09-06,14.0
250,2019-09-07,38.0
251,2019-09-08,40.0
252,2019-09-09,13.0
253,2019-09-10,7.0
254,2019-09-11,8.0
255,2019-09-12,12.0
256,2019-09-13,16.0
257,2019-09-14,12.0
258,2019-09-15,9.0
259,2019-09-16,13.0
260,2019-09-17,25.0
261,2019-09-18,21.0
262,2019-09-19,22.0
263,2019-09-20,16.0
264,2019-09-21,7.0
265,2019-09-22,16.0
266,2019-09-23,26.0
267,2019-09-24,37.0
268,2019-09-25,33.0
269,2019-09-26,23.0
270,2019-09-27,31.0
271,2019-09-28,42.0
272,2019-09-29,55.0
273,2019-09-30,48.0
274,2019-10-01,25.0
275,2019-10-02,9.0
276,2019-10-03,30.0
277,2019-10-04,43.0
278,2019-10-05,12.0
279,2019-10-06,11.0
280,2019-10-07,25.0
281,2019-10-08,26.0
282,2019-10-09,33.0
283,2019-10-10,39.0
284,2019-10-11,29.0
285,2019-10-12,24.0
286,2019-10-13,39.0
287,2019-10-14,26.0
288,2019-10-15,34.0
289,2019-10-16,33.0
290,2019-10-17,19.0
291,2019-10-18,22.0
292,2019-10-19,41.0
293,2019-10-20,45.0
294,2019-10-21,40.0
295,2019-10-22,23.0
296,2019-10-23,29.0
297,2019-10-24,25.0
298,2019-10-25,24.0
299,2019-10-26,26.0
300,2019-10-27,34.0
301,2019-10-28,78.0
302,2019-10-29,28.0
303,2019-10-30,69.0
304,2019-10-31,82.0
305,2019-11-01,64.0
306,2019-11-02,49.0
307,2019-11-03,13.0
308,2019-11-04,35.0
309,2019-11-05,50.0
310,2019-11-06,50.0
311,2019-11-07,45.0
312,2019-11-08,39.0
313,2019-11-09,32.0
314,2019-11-10,21.0
315,2019-11-11,32.0
316,2019-11-12,30.0
317,2019-11-13,19.0
318,2019-11-14,25.0
319,2019-11-15,36.0
320,2019-11-16,28.0
321,2019-11-17,61.0
322,2019-11-18,33.0
323,2019-11-19,24.0
324,2019-11-20,41.0
325,2019-11-21,50.0
326,2019-11-22,36.0
327,2019-11-23,32.0
328,2019-11-24,29.0
329,2019-11-25,27.0
330,2019-11-26,41.0
331,2019-11-27,41.0
332,2019-11-28,45.0
333,2019-11-29,47.0
334,2019-11-30,43.0
335,2019-12-01,25.0
336,2019-12-02,32.0
337,2019-12-03,33.0
338,2019-12-04,25.0
339,2019-12-05,34.0
340,2019-12-06,49.0
341,2019-12-07,56.0
342,2019-12-08,63.0
343,2019-12-09,84.0
344,2019-12-10,68.0
345,2019-12-11,20.0
346,2019-12-12,27.0
347,2019-12-13,41.0
348,2019-12-14,39.0
349,2019-12-15,43.0
350,2019-12-16,31.0
351,2019-12-17,42.0
352,2019-12-18,29.0
353,2019-12-19,32.0
354,2019-12-20,38.0
355,2019-12-21,60.0
356,2019-12-22,54.0
357,2019-12-23,67.0
358,2019-12-24,54.0
359,2019-12-25,50.0
360,2019-12-26,39.0
361,2019-12-27,48.0
362,2019-12-28,49.0
363,2019-12-29,41.9162995594714
364,2019-12-30,41.9162995594714
365,2019-12-31,38.0
366,2020-01-01,60.0
367,2020-01-02,64.0
368,2020-01-03,58.0
369,2020-01-04,56.0
370,2020-01-05,43.0
371,2020-01-06,10.0
372,2020-01-07,28.0
373,2020-01-08,52.0
374,2020-01-09,61.0
